the_geom,Borough,Feat_Type,OfficialNM,Honor_Name,Old_Name,ULURPCPNUM,Intro_NUM,Intro_Year,IntroMonth,Intro_Day,LL_NUM,LL_SEC,LL_Type,LLEffectDT,LL_Limits,Limits_ER,Repealed,Repeal_DT,Amended,Amend_DT,Amendt_TXT,AMDYRLLSEC
POINT (-74.10882478978476 40.62394695483671),Staten Island,Corner name,None,Firefighter Sean S. Hanley Way,None,none,0437,2003,4,30,034,30,Honorary,06/03/2003,the southeast corner of the intersection of Oakland Avenue and Whitewood Avenue,,No,,No,,,
POINT (-74.07870107897341 40.638190165431176),Staten Island,Corner name,None,Officer Donald A. Foreman Way,None,none,0437,2003,4,30,034,31,Honorary,06/03/2003,the southeast corner of the intersection of Monroe Avenue and Victory Boulevard,,No,,No,,,
POINT (-74.10249145203413 40.63084784379721),Staten Island,Corner name,None,Firefighter Kenneth B. Kumpel Way,None,none,0437,2003,4,30,034,32,Honorary,06/03/2003,the southeast corner of the intersection of Sharon Avenue and Forest Avenue,,No,,No,,,
POINT (-74.06379049267761 40.610756606243406),Staten Island,Corner name,None,Firefighter James M. Gray Way,None,none,0437,2003,4,30,034,33,Honorary,06/03/2003,the northwest corner of the intersection of Hope Avenue and Bay  Street,,No,,No,,,
POINT (-74.1411352522005 40.617974240069856),Staten Island,Corner name,None,Daniel R. Notaro Way,None,none,0437,2003,4,30,034,34,Honorary,06/03/2003,the southeast corner of The intersection of Muller Avenue and Waters Avenue,,Yes,6/14/2007,No,,,
POINT (-74.11062166401393 40.572722110487135),Staten Island,Corner name,None,Firefighter Joseph A. Masacali Way,None,none,0437,2003,4,30,034,36,Honorary,06/03/2003,the northwest corner of the intersection of Bache Avenue and Clawson Street,,No,,No,,,
POINT (-73.78227013097226 40.788660613956736),Queens,Intersection name,None,100th Infantry Division Boulevard,None,none,0437,2003,4,30,034,41,Honorary,06/03/2003,the intersection of Bell Boulevard and 212th Street,,No,,No,,,
POINT (-73.86435993007821 40.67915285137785),Brooklyn,Corner name,None,Mizanur Rahman Way,None,none,0437,2003,4,30,034,47,Honorary,06/03/2003,the northwest corner of the intersection of Liberty Avenue and Forbell Street,,No,,No,,,
POINT (-73.93168246853817 40.74466897909363),Queens,Intersection name,None,Rawson Street,None,none,0437,2003,4,30,034,52,Honorary,06/03/2003,the intersection of Queens Boulevard and 33rd Street,,No,,No,,,
POINT (-73.9242586247588 40.74380835031544),Queens,Intersection name,None,Lowery Street,None,none,0437,2003,4,30,034,53,Honorary,06/03/2003,the intersection of Queens Boulevard and 40th Street,,No,,No,,,
POINT (-73.91870218526878 40.7431557377775),Queens,Intersection name,None,Bliss Street,None,none,0437,2003,4,30,034,54,Honorary,06/03/2003,the intersection of Queens Boulevard and 46th Street,,No,,No,,,
POINT (-73.90641883745477 40.74563477474748),Queens,Intersection name,None,Edward Fowley Way,None,none,0437,2003,4,30,034,55,Honorary,06/03/2003,the intersection of Woodside Avenue and 58th Street,,No,,No,,,
